,repository
1326872,mcxiaoke/android-volley
1328418,umano/AndroidSlidingUpPanel
1328653,edx/edx-platform
1329012,Octokit/octokit.rb
1335542,nomad/shenzhen
1335857,nomad/cupertino
1341488,bundler/bundler
1342905,koush/ion
1343564,puphpet/puphpet
1351860,carrierwaveuploader/carrierwave
1352272,facebook/watchman
1354675,square/picasso
1355078,alexwolfe/Buttons
1373052,json-api/json-api
1384458,gelstudios/gitfiti
1393983,facebook/buck
1397521,lra/mackup
1401625,surfly/gevent
1401823,orangeduck/libCello
1404028,peek/peek
1405844,Prototik/HoloEverywhere
1406005,helios-framework/helios
1407033,pudo/dataset
1407764,resque/resque
1415699,gaylemcd/ctci
1416959,keepassx/keepassx
1417259,paralect/robomongo
1418405,nhaarman/ListViewAnimations
1418973,filp/whoops
1419586,tjanczuk/edge
1423158,cantino/huginn
1426444,CyberAgent/android-gpuimage
1433097,JakeWharton/butterknife
1439300,alibaba/druid
1439305,alibaba/fastjson
1440635,alibaba/tengine
1445664,omab/python-social-auth
1463935,mahmoud/boltons
1465742,mybatis/mybatis-3
1466199,JeffreyWay/Laravel-4-Generators
1476618,boxen/our-boxen
1482817,junit-team/junit
1501057,Netflix/RxJava
1502231,roboguice/roboguice
1509993,causes/scss-lint
1512850,koral--/android-gif-drawable
1512895,sokolovstas/SublimeWebInspector
1514613,square/android-times-square
1515733,FontCustom/fontcustom
1523540,oklai/koala
1524949,jedisct1/libsodium
1525474,milkbikis/powerline-shell
1525564,openssl/openssl
1525589,lucasr/twoway-view
1526651,ideawu/ssdb
1553678,laravel/framework
1556083,jarednova/timber
1556884,lostisland/faraday
1565364,racker/falcon
1566808,manastech/crystal
1568973,shadowsocks/shadowsocks-android
1572083,jisaacks/GitGutter
1576645,charliesome/better_errors
1581562,visualfc/liteide
1585965,gleitz/howdoi
1586136,Netflix/Hystrix
1586319,vcr/vcr
1588776,crsmithdev/arrow
1589047,rails-api/rails-api
1591774,nicolaiarocci/eve
1593522,elabs/pundit
1595543,rails-api/active_model_serializers
1595934,pardom/ActiveAndroid
1598879,Lokaltog/powerline
1599657,locustio/locust
1602134,dompdf/dompdf
1602279,reactphp/react
1603258,drapergem/draper
1603349,quantopian/zipline
1603411,pagespeed/ngx_pagespeed
1603667,OpenRefine/OpenRefine
1603978,hrydgard/ppsspp
1604208,yixia/VitamioBundle
1607144,yangfuhai/afinal
1607188,lockitron/selfstarter
1608423,tgalal/yowsup
1621889,andreareginato/betterspecs
1626235,fxsjy/jieba
1638087,LMAX-Exchange/disruptor
1639076,GarageGames/Torque3D
1639587,spotify/luigi
1642972,davidhalter/jedi-vim
1644086,square/dagger
1646224,sparklemotion/mechanize
1652436,jp9000/OBS
1652768,reactiveui/ReactiveUI
1654813,opal/opal
1655840,sivel/speedtest-cli
1659485,briannesbitt/Carbon
1665987,bbatsov/rubocop
1666878,bup/bup
1669036,serbanghita/Mobile-Detect
1671840,pagekite/Mailpile
1679889,stedolan/jq
1683186,mockito/mockito
1684375,owncloud/core
1685067,fogleman/Minecraft
1685570,koush/AndroidAsync
1687852,YOURLS/YOURLS
1694984,soimort/you-get
1698947,mwaskom/seaborn
1711751,laserlemon/figaro
1720010,aasm/aasm
1720409,benvanik/Xenia
1720454,bottlepy/bottle
1723623,trogdoro/xiki
1723813,getsentry/sentry
1724034,perwendel/spark
1724072,libgdx/libgdx
1724557,Sylius/Sylius
1724816,zmoazeni/csscss
1726732,thoughtbot/neat
1726973,getlantern/lantern
1731756,rui314/8cc
1733863,paramiko/paramiko
1737380,mopidy/mopidy
1737532,nicolargo/glances
1739514,yui/yuicompressor
1739629,lpereira/lwan
1741347,philsquared/Catch
1742569,Respect/Validation
1742819,koenbok/Cactus
1743118,sj26/mailcatcher
1743899,kickstarter/rack-attack
1744323,chrippa/livestreamer
1744445,AppScale/appscale
1744559,rogerwang/node-webkit
1745233,ivansafrin/Polycode
1747051,jonas/tig
1747262,mitsuhiko/werkzeug
1747394,plamoni/SiriProxy
1747450,mitsuhiko/jinja2
1747522,wg/wrk
1747527,JakeWharton/DiskLruCache
1747541,twall/jna
1748340,chenshuo/muduo
1748800,facebook/presto
1751731,refile/refile
